G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
66,Thu Apr 26 2012,8:00p EST,,Box Score,@,Washington Wizards,L,,70,104,46,20,L 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
1,Sat Apr 28 2012,3:30p EST,,Box Score,,New York Knicks,W,,100,67,1,0,W 1,,True,
2,Mon Apr 30 2012,7:00p EST,,Box Score,,New York Knicks,W,,104,94,2,0,W 2,,True,
3,Thu May 3 2012,7:00p EST,,Box Score,@,New York Knicks,W,,87,70,3,0,W 3,,True,
4,Sun May 6 2012,3:30p EST,,Box Score,@,New York Knicks,L,,87,89,3,1,L 1,,True,
5,Wed May 9 2012,7:00p EST,,Box Score,,New York Knicks,W,,106,94,4,1,W 1,,True,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
6,Sun May 13 2012,3:30p EST,,Box Score,,Indiana Pacers,W,,95,86,5,1,W 2,,True,
7,Tue May 15 2012,7:00p EST,,Box Score,,Indiana Pacers,L,,75,78,5,2,L 1,,True,
8,Thu May 17 2012,7:00p EST,,Box Score,@,Indiana Pacers,L,,75,94,5,3,L 2,,True,
9,Sun May 20 2012,3:30p EST,,Box Score,@,Indiana Pacers,W,,101,93,6,3,W 1,,True,
10,Tue May 22 2012,8:00p EST,,Box Score,,Indiana Pacers,W,,115,83,7,3,W 2,,True,
11,Thu May 24 2012,8:00p EST,,Box Score,@,Indiana Pacers,W,,105,93,8,3,W 3,,True,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
12,Mon May 28 2012,8:30p EST,,Box Score,,Boston Celtics,W,,93,79,9,3,W 4,,True,
13,Wed May 30 2012,8:30p EST,,Box Score,,Boston Celtics,W,OT,115,111,10,3,W 5,,True,
14,Fri Jun 1 2012,8:30p EST,,Box Score,@,Boston Celtics,L,,91,101,10,4,L 1,,True,
15,Sun Jun 3 2012,8:30p EST,,Box Score,@,Boston Celtics,L,OT,91,93,10,5,L 2,,True,
16,Tue Jun 5 2012,8:30p EST,,Box Score,,Boston Celtics,L,,90,94,10,6,L 3,,True,
17,Thu Jun 7 2012,8:30p EST,,Box Score,@,Boston Celtics,W,,98,79,11,6,W 1,,True,
18,Sat Jun 9 2012,8:30p EST,,Box Score,,Boston Celtics,W,,101,88,12,6,W 2,,True,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
19,Tue Jun 12 2012,8:00p EST,,Box Score,@,Oklahoma City Thunder,L,,94,105,12,7,L 1,,True,
20,Thu Jun 14 2012,8:00p EST,,Box Score,@,Oklahoma City Thunder,W,,100,96,13,7,W 1,,True,
21,Sun Jun 17 2012,8:00p EST,,Box Score,,Oklahoma City Thunder,W,,91,85,14,7,W 2,,True,
22,Tue Jun 19 2012,9:00p EST,,Box Score,,Oklahoma City Thunder,W,,104,98,15,7,W 3,,True,
23,Thu Jun 21 2012,9:00p EST,,Box Score,,Oklahoma City Thunder,W,,121,106,16,7,W 4,,True,
