G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
48,Wed Feb 6 2013,7:30p EST,,Box Score,,Memphis Grizzlies,W,,103,92,27,21,W 1,,False,
49,Fri Feb 8 2013,7:30p EST,,Box Score,,New Orleans Hornets,L,,100,111,27,22,L 1,,False,
50,Mon Feb 11 2013,7:30p EST,,Box Score,@,Dallas Mavericks,W,,105,101,28,22,W 1,,False,
51,Wed Feb 13 2013,7:00p EST,,Box Score,@,Orlando Magic,W,,108,76,29,22,W 2,,False,
52,Wed Feb 20 2013,8:00p EST,,Box Score,,Miami Heat,L,,90,103,29,23,L 1,,False,
53,Fri Feb 22 2013,7:30p EST,,Box Score,,Sacramento Kings,W,,122,108,30,23,W 1,,False,
54,Sat Feb 23 2013,7:30p EST,,Box Score,@,Milwaukee Bucks,W,,103,102,31,23,W 2,,False,
55,Mon Feb 25 2013,7:30p EST,,Box Score,@,Detroit Pistons,W,,114,103,32,23,W 3,,False,
56,Wed Feb 27 2013,7:00p EST,,Box Score,@,Utah Jazz,W,,102,91,33,23,W 4,,False,
57,Fri Mar 1 2013,7:00p EST,,Box Score,@,Phoenix Suns,L,,87,92,33,24,L 1,,False,
58,Sun Mar 3 2013,6:30p EST,,Box Score,@,Los Angeles Lakers,L,,98,99,33,25,L 2,,False,
59,Mon Mar 4 2013,7:00p EST,,Box Score,@,Denver Nuggets,L,,88,104,33,26,L 3,,False,
60,Wed Mar 6 2013,7:30p EST,,Box Score,,Philadelphia 76ers,W,,107,96,34,26,W 1,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
61,Fri Mar 8 2013,8:00p EST,,Box Score,@,Boston Celtics,L,OT,102,107,34,27,L 1,,False,
62,Sat Mar 9 2013,7:00p EST,,Box Score,,Brooklyn Nets,L,,80,93,34,28,L 2,,False,
63,Tue Mar 12 2013,7:30p EST,,Box Score,@,Miami Heat,L,,81,98,34,29,L 3,,False,
64,Wed Mar 13 2013,7:30p EST,,Box Score,,Los Angeles Lakers,W,,96,92,35,29,W 1,,False,
65,Fri Mar 15 2013,7:30p EST,,Box Score,,Phoenix Suns,W,,107,94,36,29,W 2,,False,
66,Sun Mar 17 2013,8:00p EST,,Box Score,@,Brooklyn Nets,W,,105,93,37,29,W 3,,False,
67,Mon Mar 18 2013,7:30p EST,,Box Score,,Dallas Mavericks,L,,113,127,37,30,L 1,,False,
68,Wed Mar 20 2013,7:30p EST,,Box Score,,Milwaukee Bucks,W,,98,90,38,30,W 1,,False,
69,Fri Mar 22 2013,7:30p EST,,Box Score,,Portland Trail Blazers,L,,93,104,38,31,L 1,,False,
