G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
72,Fri Mar 29 2013,7:00p EST,,Box Score,@,Orlando Magic,L,,92,97,26,46,L 2,,False,
73,Sun Mar 31 2013,6:00p EST,,Box Score,,Toronto Raptors,W,,109,92,27,46,W 1,,False,
74,Tue Apr 2 2013,7:00p EST,,Box Score,,Chicago Bulls,W,,90,86,28,46,W 2,,False,
75,Wed Apr 3 2013,7:00p EST,,Box Score,@,Toronto Raptors,L,,78,88,28,47,L 1,,False,
76,Sat Apr 6 2013,7:00p EST,,Box Score,,Indiana Pacers,W,,104,85,29,47,W 1,,False,
77,Sun Apr 7 2013,6:00p EST,,Box Score,@,Boston Celtics,L,,96,107,29,48,L 1,,False,
78,Tue Apr 9 2013,7:30p EST,,Box Score,@,New York Knicks,L,,99,120,29,49,L 2,,False,
79,Wed Apr 10 2013,7:00p EST,,Box Score,,Miami Heat,L,,98,103,29,50,L 3,,False,
80,Fri Apr 12 2013,7:00p EST,,Box Score,,Philadelphia 76ers,L,,86,97,29,51,L 4,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
81,Mon Apr 15 2013,7:30p EST,,Box Score,@,Brooklyn Nets,L,,101,106,29,52,L 5,,False,
82,Wed Apr 17 2013,7:00p EST,,Box Score,@,Chicago Bulls,L,,92,95,29,53,L 6,,False,
